T1: 1 56, 3 8, 5 18, 7 12, 9 12, 11 45, 13 8, 15 3, 17 6, 19 21, 21 3, 23 5, 25 3, 27 18, 29 40, 31 30, 34 30, 36 1, 38 6, 40 77, 42 5, 44 7, 46 7, 48 21, 50 45, 52 30, 54 8, 56 20, 58 6, 60 40, 62 3, 64 4, 66 4, 68 56, 70 10, 72 48, 74 7
T2929: 2 21, 3 12, 5 21, 7 6, 10 36, 11 5, 14 5, 15 18, 17 9, 19 21, 21 2, 24 12, 25 3, 27 2, 29 16, 31 12, 34 48, 36 9, 39 12, 40 33, 43 5, 44 10, 46 4, 48 56, 50 40, 52 24, 54 8, 57 30, 58 9, 60 40, 62 8, 65 9, 66 12, 69 64, 70 12, 73 12, 74 1
T2930: 2 3, 3 20, 5 3, 7 9, 9 10, 12 12, 14 1, 16 6, 17 18, 19 15, 21 4, 24 2, 25 3, 27 18, 29 40, 31 6, 34 48, 36 7, 39 14, 40 88, 43 10, 44 2, 46 3, 48 49, 50 5, 52 36, 54 2, 56 36, 58 1, 60 36, 62 1, 65 15, 66 20, 69 80, 71 24, 73 14, 74 4
T2931: 2 6, 3 24, 5 30, 7 21, 9 16, 11 50, 14 5, 16 30, 17 18, 20 1, 21 2, 24 20, 25 4, 27 4, 29 20, 31 30, 34 42, 36 7, 39 18, 40 55, 43 40, 44 3, 47 21, 48 70, 50 10, 52 48, 54 2, 56 36, 58 6, 60 12, 63 20, 65 18, 66 4, 69 48, 71 32, 73 4, 74 8
T2932: 2 3, 3 28, 5 15, 8 4, 9 10, 12 16, 14 5, 16 6, 17 12, 19 3, 21 5, 23 20, 25 8, 27 16, 29 4, 31 21, 34 36, 36 4, 39 4, 40 77, 42 1, 44 7, 46 3, 48 70, 51 4, 52 24, 54 10, 56 16, 58 9, 60 12, 62 2, 64 36, 66 36, 69 40, 71 4, 72 18, 74 7
T2933: 2 30, 4 35, 5 9, 8 16, 9 8, 11 30, 14 2, 15 15, 17 27, 19 27, 21 3, 24 6, 25 4, 27 18, 29 20, 31 27, 34 18, 36 5, 39 18, 40 55, 42 3, 44 7, 46 3, 48 56, 51 20, 52 6, 54 7, 56 16, 58 8, 60 4, 62 7, 65 27, 66 40, 69 32, 71 28, 73 8, 74 10
T2934: 2 21, 4 40, 5 24, 7 9, 10 36, 11 30, 14 2, 15 12, 17 6, 19 21, 21 3, 24 6, 25 9, 27 6, 29 4, 31 3, 34 12, 36 9, 39 8, 40 33, 42 7, 44 5, 46 6, 48 14, 51 2, 52 54, 54 10, 56 4, 58 3, 60 28, 62 10, 65 9, 66 36, 69 80, 71 24, 73 12, 74 3
T2935: 2 15, 4 35, 5 12, 8 12, 9 4, 11 20, 14 3, 16 30, 17 12, 19 21, 21 6, 24 20, 25 2, 27 16, 29 12, 31 18, 34 30, 36 5, 39 6, 40 66, 42 2, 44 7, 46 2, 48 28, 51 12, 52 60, 54 9, 56 4, 58 2, 60 32, 62 10, 64 24, 66 36, 69 72, 71 40, 73 6, 74 2
T2936: 2 12, 4 15, 5 24, 8 14, 9 20, 11 30, 14 4, 16 30, 17 30, 19 12, 21 3, 24 10, 25 4, 27 10, 29 20, 32 50, 34 18, 36 8, 39 8, 40 44, 42 2, 44 10, 46 4, 48 35, 51 10, 52 36, 54 10, 56 16, 58 1, 60 16, 62 4, 64 12, 66 32, 69 32, 71 32, 73 8, 74 6
T2937: 2 15, 4 40, 5 3, 8 12, 9 6, 11 20, 14 4, 15 21, 17 9, 19 9, 21 9, 24 6, 25 9, 27 20, 29 28, 31 27, 34 48, 36 7, 39 8, 40 11, 42 5, 44 4, 46 10, 48 21, 51 20, 52 18, 54 2, 57 42, 58 5, 60 28, 62 10, 65 21, 66 28, 69 72, 71 20, 72 36, 74 6
T2938: 2 27, 4 15, 5 6, 7 30, 10 30, 11 30, 14 1, 15 24, 17 9, 19 6, 21 2, 24 18, 25 1, 27 18, 29 28, 31 6, 34 48, 36 10, 39 2, 40 88, 42 2, 44 4, 46 7, 48 63, 51 8, 52 54, 54 3, 57 18, 58 10, 60 40, 62 1, 65 12, 66 24, 69 32, 71 16, 72 12, 74 1
T2939: 2 30, 4 5, 5 12, 8 8, 9 20, 11 25, 14 5, 16 21, 17 18, 19 30, 21 8, 24 8, 25 6, 27 4, 29 32, 31 12, 34 6, 36 5, 39 10, 40 33, 42 3, 44 1, 46 9, 48 42, 51 14, 52 30, 54 5, 57 54, 58 7, 60 20, 62 5, 64 32, 66 8, 69 32, 71 40, 72 6, 74 3
T2940: 2 6, 4 30, 5 27, 8 12, 9 8, 11 35, 14 4, 16 18, 17 9, 19 24, 21 6, 24 10, 25 2, 27 14, 29 4, 32 45, 34 36, 36 2, 39 4, 40 22, 42 4, 44 8, 46 1, 48 63, 51 14, 52 60, 54 5, 57 12, 58 3, 60 16, 62 3, 64 12, 66 12, 69 40, 71 24, 72 24, 74 5
T2941: 2 9, 3 16, 5 21, 7 24, 9 20, 11 40, 14 9, 16 12, 18 14, 20 6, 21 1, 24 14, 25 2, 27 6, 29 24, 31 27, 35 18, 36 1, 38 8, 40 77, 42 6, 44 7, 46 4, 48 49, 50 15, 52 24, 54 7, 56 24, 58 10, 60 28, 62 1, 64 40, 66 4, 69 72, 71 40, 73 12, 74 10
T2942: 2 9, 3 8, 5 30, 7 24, 9 14, 11 50, 14 8, 16 24, 18 6, 20 4, 21 9, 24 2, 25 9, 27 2, 29 4, 31 15, 35 30, 36 5, 38 5, 40 55, 43 40, 44 5, 46 6, 48 56, 50 40, 52 18, 54 1, 56 32, 58 5, 60 36, 62 4, 64 12, 66 16, 69 64, 71 28, 73 2, 74 7
T2943: 2 9, 3 4, 5 24, 7 9, 9 16, 11 25, 14 5, 16 6, 18 4, 20 1, 21 6, 24 4, 25 4, 27 10, 29 20, 31 3, 35 6, 36 9, 38 3, 40 44, 43 30, 44 6, 46 3, 48 28, 50 20, 52 30, 54 3, 56 40, 58 2, 60 12, 62 9, 65 18, 66 24, 69 80, 71 28, 73 12, 74 7
T2944: 2 12, 3 16, 5 30, 7 27, 10 60, 11 40, 14 6, 16 15, 18 18, 20 2, 21 3, 24 16, 25 7, 27 8, 29 28, 31 3, 35 6, 36 2, 38 6, 40 66, 43 45, 44 7, 46 10, 48 63, 50 5, 52 12, 54 1, 57 42, 58 7, 60 8, 62 8, 65 30, 66 24, 69 8, 71 32, 73 10, 74 4
T2945: 2 27, 3 32, 5 30, 7 6, 9 10, 11 25, 14 3, 16 15, 18 6, 20 2, 21 5, 24 12, 25 6, 27 8, 29 12, 31 12, 34 6, 36 1, 38 3, 40 110, 42 1, 44 7, 47 6, 48 7, 50 5, 52 18, 54 5, 56 36, 58 7, 60 16, 62 7, 64 28, 66 32, 69 8, 70 18, 73 2, 74 7
T2946: 2 9, 3 24, 5 27, 7 24, 9 18, 11 45, 14 6, 16 9, 18 16, 20 6, 21 10, 24 8, 25 5, 27 16, 29 12, 31 21, 34 12, 36 10, 38 5, 40 99, 43 50, 44 10, 47 18, 48 21, 50 35, 52 54, 54 6, 56 28, 58 4, 60 8, 62 7, 64 32, 66 12, 69 56, 70 6, 73 18, 74 8
T2947: 2 3, 3 36, 5 21, 7 6, 9 6, 11 20, 14 10, 16 21, 18 6, 20 2, 21 3, 24 4, 25 10, 27 16, 29 12, 31 15, 34 60, 36 2, 38 8, 40 110, 43 45, 44 9, 47 30, 48 14, 50 25, 52 6, 54 4, 56 12, 58 10, 60 24, 62 7, 65 30, 66 28, 69 24, 70 18, 73 12, 74 10
T2948: 2 12, 3 40, 5 18, 7 21, 10 48, 11 35, 14 3, 16 24, 18 12, 20 3, 21 1, 24 4, 25 4, 27 2, 29 24, 31 24, 34 12, 36 8, 38 9, 40 99, 43 45, 44 6, 47 27, 48 56, 50 35, 52 18, 54 5, 57 42, 58 7, 60 28, 63 16, 65 30, 66 24, 69 72, 70 10, 73 12, 74 1
T2949: 2 3, 3 36, 5 30, 7 27, 10 42, 12 10, 14 2, 16 21, 18 8, 20 6, 21 6, 23 30, 25 5, 27 16, 29 20, 31 6, 34 60, 36 8, 38 10, 40 11, 42 8, 44 7, 46 4, 48 42, 51 10, 52 30, 54 10, 56 20, 58 1, 60 20, 62 9, 64 8, 66 24, 69 8, 71 12, 72 54, 74 1
T2950: 2 3, 4 25, 5 27, 7 6, 10 36, 12 4, 14 5, 16 18, 18 4, 20 3, 21 1, 24 4, 25 8, 27 4, 29 8, 33 27, 34 54, 36 9, 38 6, 40 22, 42 4, 44 2, 46 5, 48 42, 51 10, 52 18, 54 6, 57 36, 58 1, 60 20, 62 5, 64 12, 66 24, 69 40, 71 36, 72 42, 74 3
T2951: 2 18, 4 15, 5 27, 7 30, 9 10, 12 16, 14 7, 16 15, 18 16, 20 7, 21 8, 24 12, 25 9, 27 12, 29 12, 31 21, 34 12, 36 4, 38 4, 40 77, 42 6, 44 5, 46 1, 48 49, 50 20, 52 24, 54 8, 56 16, 58 4, 60 16, 62 8, 64 28, 66 40, 69 48, 70 8, 73 14, 74 9
T2952: 2 24, 4 25, 5 3, 7 15, 10 24, 12 14, 14 4, 16 9, 18 2, 20 9, 21 3, 24 2, 25 5, 27 14, 29 8, 31 24, 34 42, 36 3, 38 9, 40 77, 42 9, 44 9, 46 1, 48 14, 51 12, 52 42, 54 6, 57 42, 58 3, 60 4, 62 5, 64 20, 66 8, 69 72, 71 16, 72 36, 74 4
T2953: 2 30, 3 12, 5 3, 7 15, 9 6, 11 30, 14 5, 16 6, 18 2, 20 1, 21 6, 24 8, 25 2, 27 16, 29 12, 31 12, 35 60, 36 9, 39 6, 40 55, 42 9, 44 8, 46 4, 48 14, 51 4, 52 18, 54 5, 56 24, 58 4, 60 20, 62 1, 64 12, 66 16, 69 64, 71 12, 73 10, 74 7
T2954: 2 15, 3 8, 5 27, 7 6, 9 20, 11 45, 14 10, 16 9, 18 4, 20 6, 21 1, 24 16, 25 2, 27 14, 29 16, 31 9, 35 6, 36 1, 39 14, 40 33, 42 1, 44 10, 46 1, 48 49, 51 20, 52 36, 54 9, 56 40, 58 1, 60 12, 62 4, 65 9, 66 32, 69 72, 71 28, 73 16, 74 9
T2955: 2 3, 3 4, 5 24, 7 6, 10 12, 11 10, 14 8, 16 21, 18 12, 20 7, 21 10, 24 8, 25 10, 27 6, 29 4, 31 15, 35 30, 36 2, 39 8, 40 99, 42 7, 44 5, 46 4, 48 70, 51 8, 52 54, 54 4, 57 12, 58 5, 60 32, 62 5, 65 3, 66 36, 69 40, 71 12, 73 18, 74 10
T2956: 2 6, 3 8, 5 24, 7 30, 9 20, 12 16, 14 3, 16 30, 18 20, 20 10, 21 5, 23 20, 25 3, 27 2, 29 40, 31 9, 34 30, 36 1, 39 12, 40 55, 42 9, 44 10, 46 10, 48 56, 51 8, 52 24, 54 10, 56 40, 58 4, 60 4, 62 6, 64 8, 66 20, 69 40, 71 32, 72 6, 74 3
T2957: 2 27, 3 8, 5 27, 7 30, 10 18, 12 6, 14 1, 16 15, 18 2, 20 3, 21 3, 23 35, 25 9, 27 18, 29 28, 31 24, 34 18, 36 6, 39 8, 40 11, 42 10, 44 9, 46 4, 48 56, 51 8, 52 24, 54 9, 56 20, 58 7, 60 8, 62 2, 64 40, 66 32, 69 72, 71 4, 72 60, 74 8
T2958: 2 24, 4 35, 5 21, 7 9, 10 36, 12 18, 14 7, 16 18, 18 8, 20 6, 21 8, 24 12, 25 8, 27 8, 29 40, 31 3, 34 30, 36 3, 39 8, 40 33, 42 1, 44 10, 46 1, 48 28, 51 18, 52 18, 54 3, 56 40, 58 10, 60 28, 62 6, 64 4, 66 16, 69 24, 71 12, 73 12, 74 2
T2959: 2 15, 4 50, 5 6, 7 9, 10 48, 12 4, 14 5, 16 3, 18 12, 20 7, 21 4, 24 8, 25 8, 27 8, 29 32, 32 20, 34 12, 36 9, 39 16, 40 110, 42 9, 44 4, 46 5, 48 56, 51 16, 52 36, 54 5, 56 40, 58 10, 60 16, 62 7, 64 12, 66 12, 69 48, 71 28, 73 14, 74 9
T2960: 2 3, 4 15, 5 3, 7 18, 9 20, 12 2, 14 5, 16 12, 18 12, 20 2, 21 9, 24 20, 25 9, 27 6, 29 12, 31 15, 34 54, 36 1, 39 6, 40 110, 42 7, 44 4, 46 5, 48 70, 50 15, 52 54, 54 1, 56 16, 58 9, 60 8, 62 9, 64 36, 66 40, 69 8, 71 24, 73 12, 74 8
T2961: 2 21, 4 35, 5 3, 7 15, 10 6, 12 20, 14 5, 16 3, 18 10, 20 9, 21 1, 24 6, 25 7, 27 6, 29 28, 31 3, 34 42, 36 7, 39 2, 40 33, 42 1, 44 9, 46 3, 48 70, 51 10, 52 42, 54 2, 57 12, 58 8, 60 8, 62 4, 64 20, 66 32, 69 8, 71 12, 72 24, 74 2
T2962: 2 21, 4 30, 5 6, 7 6, 10 42, 12 2, 14 6, 16 30, 18 20, 20 8, 21 2, 24 10, 25 9, 27 12, 29 32, 32 25, 34 24, 36 10, 39 14, 40 55, 42 8, 44 9, 46 7, 48 14, 51 14, 52 36, 54 8, 57 42, 58 10, 60 28, 62 9, 64 16, 66 20, 69 48, 71 20, 72 24, 74 4
T2963: 2 30, 4 20, 5 27, 7 6, 9 2, 11 40, 14 8, 15 3, 17 12, 19 12, 21 9, 24 16, 25 8, 27 12, 29 4, 31 24, 34 48, 36 2, 38 1, 40 55, 42 4, 44 3, 46 6, 49 6, 50 20, 52 42, 54 6, 56 32, 58 4, 60 20, 62 1, 64 12, 66 28, 69 48, 70 4, 73 18, 74 6
T2964: 2 12, 4 50, 5 9, 7 21, 9 6, 11 40, 14 8, 15 9, 17 6, 19 21, 21 1, 24 8, 25 8, 27 4, 29 4, 31 12, 34 54, 37 28, 38 1, 40 55, 42 5, 44 5, 46 8, 49 16, 50 20, 52 42, 54 6, 56 16, 58 1, 60 16, 62 6, 64 16, 66 24, 69 8, 70 2, 73 2, 74 10
T2965: 2 6, 3 8, 5 27, 7 27, 9 12, 12 18, 13 10, 16 15, 18 4, 20 9, 21 6, 23 35, 25 4, 27 4, 29 32, 31 30, 34 24, 36 1, 38 1, 40 110, 42 6, 44 4, 47 30, 48 7, 50 5, 52 18, 55 20, 56 16, 58 9, 60 12, 62 1, 64 4, 66 40, 69 16, 70 14, 72 18, 74 8
T2966: 2 12, 3 16, 5 15, 7 12, 9 18, 12 4, 13 4, 16 21, 18 6, 20 1, 21 1, 23 10, 25 9, 27 12, 29 12, 31 30, 34 36, 36 10, 39 18, 40 88, 42 6, 44 4, 46 1, 48 70, 51 16, 52 60, 55 16, 56 32, 58 6, 60 12, 62 9, 64 4, 66 36, 69 24, 71 12, 72 42, 74 9
T2967: 2 30, 3 16, 5 24, 7 21, 9 2, 12 20, 13 6, 16 15, 18 12, 20 10, 21 1, 23 25, 25 10, 27 8, 29 28, 31 30, 34 24, 36 9, 39 12, 40 88, 42 5, 44 2, 46 9, 48 63, 50 40, 52 54, 55 6, 56 24, 58 10, 60 4, 62 7, 64 12, 66 4, 69 8, 71 28, 72 36, 74 3
T2968: 2 9, 3 4, 6 16, 7 24, 9 4, 11 5, 14 8, 15 24, 17 15, 19 3, 21 8, 23 15, 25 1, 27 6, 29 32, 31 30, 35 24, 36 3, 38 9, 40 99, 42 1, 44 2, 46 4, 48 35, 50 45, 52 60, 55 12, 56 4, 58 4, 60 32, 62 1, 64 4, 66 28, 69 32, 71 24, 72 30, 74 2
T2969: 2 3, 3 36, 5 21, 7 12, 10 18, 12 16, 14 9, 15 27, 17 9, 19 15, 21 1, 23 35, 25 7, 27 4, 29 24, 31 6, 35 18, 36 8, 38 4, 40 33, 42 3, 44 2, 46 4, 48 49, 50 50, 52 48, 55 10, 56 12, 58 4, 60 32, 62 2, 64 32, 66 4, 69 56, 71 24, 72 36, 74 10
T2970: 2 3, 3 28, 6 12, 7 27, 9 12, 11 45, 14 2, 15 24, 17 30, 19 21, 21 8, 23 10, 25 1, 27 20, 29 36, 31 21, 35 30, 36 9, 39 4, 40 77, 42 10, 44 5, 46 10, 48 7, 51 6, 52 36, 55 8, 56 8, 58 1, 60 36, 62 8, 64 24, 66 20, 69 32, 71 28, 72 36, 74 2
T2971: 2 3, 3 36, 5 21, 7 9, 10 48, 12 14, 14 8, 15 21, 17 3, 19 27, 21 9, 23 25, 25 5, 27 20, 29 16, 31 9, 35 6, 36 5, 39 16, 40 99, 42 2, 44 4, 46 5, 48 70, 51 10, 52 36, 55 2, 56 32, 58 3, 60 36, 62 4, 64 4, 66 36, 69 48, 71 28, 72 48, 74 6
T2972: 2 12, 3 8, 5 15, 7 30, 9 6, 11 35, 14 10, 16 12, 17 27, 20 5, 21 5, 23 25, 25 4, 27 10, 29 4, 31 12, 34 12, 36 10, 39 6, 40 77, 42 1, 44 8, 47 9, 48 49, 51 12, 52 36, 55 12, 56 28, 58 4, 60 20, 62 1, 64 4, 66 28, 69 64, 71 12, 72 60, 74 3
T2973: 2 12, 3 8, 5 18, 7 27, 9 4, 12 14, 14 4, 16 3, 17 9, 20 8, 21 1, 23 35, 25 2, 27 8, 29 36, 31 24, 34 24, 36 2, 39 2, 40 77, 42 2, 44 4, 47 15, 48 63, 51 20, 52 24, 55 2, 56 8, 58 4, 60 20, 62 7, 64 28, 66 20, 69 72, 71 12, 72 36, 74 6
T2974: 2 27, 3 28, 5 21, 7 18, 9 12, 11 5, 14 10, 16 30, 18 20, 20 7, 21 4, 23 35, 25 8, 27 8, 29 16, 31 9, 35 60, 36 9, 38 5, 40 11, 42 5, 44 4, 46 9, 48 42, 50 35, 52 60, 55 10, 56 28, 58 10, 60 32, 62 3, 64 28, 66 16, 69 24, 71 24, 72 6, 74 3
T2975: 2 18, 3 8, 5 12, 7 9, 9 16, 12 14, 14 5, 16 12, 18 14, 20 2, 21 7, 23 25, 25 1, 27 8, 29 4, 31 6, 35 48, 36 6, 38 3, 40 88, 42 3, 44 5, 46 8, 48 7, 50 20, 52 24, 55 20, 56 24, 58 8, 60 32, 62 3, 64 28, 66 12, 69 40, 71 40, 72 6, 74 1
T2976: 2 3, 3 28, 5 18, 7 15, 9 20, 12 6, 14 3, 16 24, 18 18, 20 10, 21 9, 23 15, 25 4, 27 8, 29 16, 31 27, 34 24, 36 7, 38 2, 40 33, 42 9, 44 6, 47 9, 48 28, 50 25, 52 42, 55 8, 56 24, 58 7, 60 16, 62 6, 64 8, 66 36, 69 80, 70 20, 72 12, 74 5
T2977: 2 15, 3 36, 5 27, 7 27, 9 18, 12 8, 14 8, 16 24, 18 4, 20 4, 21 5, 23 40, 25 10, 27 12, 29 36, 31 15, 34 6, 36 8, 39 6, 40 22, 42 4, 44 3, 46 6, 48 42, 51 20, 52 36, 55 18, 56 24, 58 7, 60 36, 62 5, 64 28, 66 20, 69 48, 71 24, 72 42, 74 6
T2978: 2 6, 3 36, 5 12, 7 18, 9 8, 12 14, 14 3, 16 18, 18 10, 20 3, 21 10, 23 5, 25 9, 27 4, 29 24, 31 9, 34 12, 36 8, 39 2, 40 33, 42 2, 44 7, 46 1, 48 56, 50 25, 52 24, 55 16, 56 4, 58 5, 60 36, 62 7, 64 32, 66 12, 69 64, 71 8, 72 12, 74 4
T2979: 2 21, 3 8, 5 12, 7 3, 9 6, 11 20, 13 4, 15 9, 17 24, 19 18, 21 9, 24 6, 26 6, 28 10, 29 40, 31 12, 34 54, 36 3, 38 8, 40 88, 42 5, 44 4, 46 5, 49 10, 51 20, 52 48, 54 3, 56 12, 58 10, 60 24, 62 4, 64 20, 66 16, 68 14, 70 6, 73 20, 74 3
T2980: 2 27, 3 24, 5 18, 7 18, 9 16, 11 45, 13 4, 15 6, 17 27, 19 21, 21 5, 24 20, 26 6, 28 18, 29 8, 31 21, 34 48, 36 3, 38 6, 40 33, 42 7, 44 10, 46 9, 49 2, 50 10, 52 12, 54 3, 56 20, 58 5, 60 16, 62 4, 64 4, 66 40, 68 7, 70 10, 73 14, 74 7
T2981: 2 6, 3 8, 5 12, 7 15, 9 8, 11 10, 13 8, 15 15, 17 9, 20 7, 21 9, 24 8, 26 3, 28 2, 29 40, 31 24, 34 6, 36 1, 38 1, 40 99, 42 1, 44 3, 47 18, 49 4, 50 15, 52 18, 54 5, 56 24, 58 7, 60 36, 62 6, 64 8, 66 4, 68 63, 70 6, 73 10, 74 3
T2982: 2 15, 3 36, 5 9, 7 21, 9 10, 11 35, 13 2, 16 3, 18 2, 20 2, 21 4, 24 2, 26 10, 28 16, 29 24, 31 6, 34 30, 36 10, 38 6, 40 99, 42 1, 44 1, 46 7, 49 8, 50 40, 52 24, 54 1, 56 20, 58 2, 60 40, 62 9, 64 20, 66 36, 68 42, 70 4, 73 2, 74 3
T2983: 2 3, 3 12, 5 15, 7 9, 9 16, 11 10, 13 4, 16 24, 18 12, 20 4, 21 5, 24 10, 26 2, 28 4, 29 40, 31 21, 34 48, 36 5, 38 8, 40 99, 42 10, 44 3, 47 21, 49 12, 50 5, 52 36, 54 8, 56 8, 58 4, 60 12, 62 7, 64 28, 66 24, 68 35, 70 2, 73 20, 74 8
T2984: 2 6, 3 36, 5 9, 7 21, 9 10, 11 15, 13 5, 16 6, 18 6, 20 3, 21 7, 23 20, 26 2, 28 20, 29 28, 31 18, 34 6, 36 6, 38 8, 40 44, 42 2, 44 2, 46 6, 49 4, 51 18, 52 24, 54 7, 56 24, 58 6, 60 16, 62 5, 64 24, 67 18, 68 49, 70 2, 73 14, 74 7
T2985: 2 12, 3 40, 5 24, 7 27, 9 10, 11 15, 13 7, 16 30, 18 8, 20 1, 21 9, 23 25, 26 10, 28 6, 29 12, 31 27, 34 36, 36 8, 38 2, 40 22, 42 9, 44 7, 46 5, 49 14, 50 30, 52 60, 54 5, 56 32, 58 5, 60 12, 62 1, 64 32, 67 4, 68 28, 70 10, 73 20, 74 7
T2986: 2 15, 3 20, 5 30, 7 3, 9 12, 11 10, 13 10, 16 30, 18 10, 20 7, 21 4, 23 50, 26 9, 28 16, 29 20, 31 15, 34 18, 36 4, 38 2, 40 22, 42 4, 44 2, 47 21, 49 8, 50 45, 52 36, 54 5, 56 36, 58 6, 60 8, 62 7, 64 20, 67 14, 68 63, 70 20, 73 2, 74 8
T2987: 2 9, 3 36, 5 6, 7 15, 9 2, 11 5, 13 9, 15 9, 17 15, 20 3, 21 3, 23 20, 26 4, 28 14, 29 16, 31 30, 34 12, 36 1, 38 9, 40 66, 42 7, 44 7, 47 6, 48 7, 50 45, 52 6, 55 20, 56 16, 58 4, 60 40, 62 3, 64 8, 66 40, 69 8, 70 8, 72 54, 74 5
T2988: 2 24, 3 20, 5 6, 7 15, 9 8, 11 50, 14 4, 15 15, 17 15, 20 5, 21 5, 23 25, 26 7, 28 14, 29 8, 31 15, 34 42, 36 7, 38 2, 40 88, 42 1, 44 5, 47 6, 48 28, 50 25, 52 6, 55 20, 56 16, 58 8, 60 4, 62 5, 64 20, 66 36, 69 16, 70 20, 72 18, 74 3
T2989: 2 21, 3 12, 5 9, 7 18, 9 14, 11 40, 13 3, 15 12, 17 18, 20 9, 21 7, 24 10, 26 3, 27 14, 29 32, 31 12, 34 18, 36 3, 38 2, 40 11, 42 9, 44 4, 47 30, 48 63, 51 14, 52 18, 54 8, 56 20, 58 8, 60 36, 62 8, 65 15, 66 32, 69 24, 70 18, 73 8, 74 9
T2990: 2 15, 3 12, 5 24, 7 27, 9 12, 11 35, 13 5, 15 6, 17 21, 20 8, 21 8, 24 18, 26 1, 27 16, 29 8, 31 24, 34 36, 36 9, 38 1, 40 22, 43 50, 44 3, 47 27, 48 35, 51 2, 52 24, 54 4, 56 16, 58 6, 60 36, 62 6, 65 12, 66 4, 69 64, 70 16, 73 16, 74 1
T2991: 2 6, 3 4, 5 6, 7 18, 9 14, 11 40, 13 4, 15 21, 17 12, 19 15, 21 2, 24 12, 26 1, 27 4, 29 36, 31 12, 34 48, 36 6, 39 18, 40 55, 42 10, 44 7, 46 3, 48 70, 51 10, 53 18, 54 10, 56 36, 58 6, 60 36, 62 10, 65 6, 66 16, 69 8, 71 8, 73 20, 74 7
T2992: 2 21, 3 40, 5 9, 7 21, 9 4, 11 20, 13 3, 15 6, 17 9, 19 9, 21 9, 24 10, 26 8, 27 16, 29 12, 31 18, 34 30, 36 2, 39 8, 40 33, 43 20, 44 5, 46 4, 48 49, 51 2, 52 18, 54 5, 56 28, 58 10, 60 16, 62 9, 65 18, 66 36, 69 8, 71 40, 73 6, 74 7
T2993: 2 30, 3 28, 5 9, 7 6, 9 14, 11 5, 13 4, 16 9, 18 8, 20 4, 21 9, 24 2, 26 5, 27 16, 29 36, 31 30, 34 6, 36 3, 38 10, 40 11, 43 10, 44 6, 47 12, 48 63, 51 10, 52 30, 54 6, 57 60, 58 3, 60 36, 63 10, 65 21, 66 16, 69 72, 70 14, 73 8, 74 10
T2994: 2 12, 3 24, 5 3, 7 18, 9 20, 11 15, 13 3, 15 15, 17 30, 19 12, 21 8, 24 16, 26 5, 27 16, 29 20, 31 9, 34 54, 36 3, 38 4, 40 11, 42 1, 44 5, 46 9, 49 20, 50 20, 52 30, 54 6, 56 16, 58 8, 60 8, 62 8, 65 15, 66 28, 68 42, 70 6, 73 16, 74 7
T2995: 2 9, 3 32, 5 24, 7 6, 9 10, 11 40, 13 8, 15 12, 17 30, 19 18, 21 3, 24 12, 26 9, 27 2, 29 40, 31 9, 34 30, 36 6, 38 5, 40 99, 43 5, 44 10, 46 8, 49 18, 50 10, 52 6, 54 5, 56 24, 58 4, 60 8, 62 9, 65 27, 66 16, 68 35, 70 6, 73 20, 74 9
T2996: 2 18, 3 28, 5 3, 7 12, 9 6, 11 30, 13 2, 15 27, 17 18, 20 10, 21 6, 24 10, 26 9, 27 18, 29 28, 31 30, 34 42, 36 9, 38 7, 40 110, 42 8, 44 2, 47 21, 49 4, 50 15, 52 30, 54 6, 56 16, 58 10, 60 8, 62 1, 65 9, 66 4, 68 70, 70 6, 73 16, 74 7
T2997: 2 21, 3 36, 5 24, 7 9, 9 20, 11 45, 13 1, 15 24, 17 21, 20 8, 21 3, 24 16, 26 7, 27 20, 29 4, 31 15, 34 42, 36 8, 38 9, 40 44, 43 20, 44 4, 47 6, 49 12, 50 40, 52 6, 54 9, 56 16, 58 8, 60 20, 62 7, 65 21, 66 28, 68 35, 70 6, 73 18, 74 6
T2998: 2 27, 3 24, 5 21, 7 24, 9 4, 11 30, 13 8, 15 15, 17 27, 19 27, 21 2, 24 4, 26 1, 27 2, 29 36, 31 3, 34 48, 36 10, 39 10, 40 66, 42 2, 44 5, 46 4, 49 10, 51 12, 52 12, 54 7, 56 36, 58 7, 60 28, 62 4, 64 36, 66 12, 68 7, 71 24, 73 2, 74 5
T2999: 2 21, 3 32, 5 21, 7 9, 9 2, 11 40, 13 6, 15 30, 17 18, 19 6, 21 10, 24 6, 26 6, 27 16, 29 20, 31 18, 34 24, 36 8, 39 12, 40 22, 43 35, 44 10, 46 6, 49 8, 51 6, 52 12, 54 2, 56 28, 58 8, 60 20, 62 8, 65 21, 66 12, 68 28, 71 4, 73 10, 74 8
T3000: 2 18, 3 12, 5 15, 7 12, 9 6, 11 20, 13 1, 15 15, 17 3, 19 6, 21 1, 24 12, 26 5, 27 8, 29 8, 31 12, 34 60, 36 1, 39 12, 40 22, 43 30, 44 7, 46 2, 49 18, 50 20, 52 60, 54 6, 56 24, 58 6, 60 24, 62 10, 65 6, 66 20, 68 42, 71 4, 73 14, 74 7
T3001: 2 24, 3 8, 5 6, 7 12, 9 4, 11 30, 13 7, 16 24, 18 18, 20 9, 21 3, 24 16, 26 5, 27 20, 29 4, 31 18, 34 54, 36 1, 38 7, 40 99, 43 30, 44 7, 46 3, 49 8, 50 50, 52 12, 54 1, 56 40, 58 9, 60 24, 62 3, 64 20, 66 16, 68 63, 70 12, 73 18, 74 8
